run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,d1f37ed1,1096,1097,262.567755,39.991917,0.936687,25,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 1}"
controlled,e0606b55,1142,1143,280.225613,40.005106,1.070831,30,"{""c7e22c1f"": 6, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 5, ""06e9e5b9"": 7}"
controlled,d1f37ed1,1144,1145,284.571486,40.012659,2.923774,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 1}"
controlled,06e9e5b9,1140,1141,269.300813,40.000455,2.354995,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 1}"
controlled,e0606b55,1189,1190,276.981048,40.001955,1.424337,30,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 5, ""06e9e5b9"": 6}"
controlled,06e9e5b9,1187,1188,278.591059,40.007353,1.187688,24,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1192,1193,294.365868,40.00467,1.739866,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,e0606b55,1237,1238,284.212681,40.000351,1.086182,33,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 6}"
controlled,d1f37ed1,1240,1241,271.805158,40.004009,3.11064,24,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,1234,1235,278.030551,39.999236,0.839225,24,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,1285,1286,284.860257,40.001808,1.074246,31,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 5}"
controlled,d1f37ed1,1287,1288,271.390278,39.999975,0.839636,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,1280,1281,279.561628,40.006828,0.779023,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,1333,1334,293.797751,39.997768,0.891074,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1328,1329,274.543258,39.999627,2.416223,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,1335,1336,278.552677,40.00096,1.0631,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,1381,1382,264.670304,40.002529,0.582836,29,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 6, ""06e9e5b9"": 4}"
controlled,d1f37ed1,1383,1384,272.274701,40.002287,0.815756,23,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,1376,1377,282.552215,40.003176,0.743452,25,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,1426,1427,277.087342,40.000163,0.946403,32,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 6}"
