camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
1ac2ffac,1790072100631,999.955078125,25,0,0,0,0,0.5821509999999996,25,25.001123097326637,23.286039999999986
d1f37ed1,1790072100631,999.962158203125,25,0,0,0,0,0.6094670000000004,25,25.00094608072327,24.378680000000017
06e9e5b9,1790072100631,999.9990234375,25,0,0,0,0,0.5629000000000008,25,25.00002441408634,22.516000000000034
e0606b55,1790072100631,999.974853515625,25,0,0,0,0,0.567463,25,25.000628677918414,22.698520000000002
c7e22c1f,1790072100631,999.967041015625,24,0,0,0,0,0.48636199999999974,24,24.00079104169693,20.265083333333322
b5e8f409,1790072100631,999.982177734375,20,0,0,0.0,0,0.9126100000000008,20,20.000356451665276,45.63050000000004
b1269e28,1790072101646,1014.636962890625,21,0,0,0,0,1.7736389999999957,21,20.697057931117122,84.4589999999998
1ac2ffac,1790072101646,999.988037109375,25,0,0,0,0,0.5944579999999995,25,25.000299075843436,23.77831999999998
d1f37ed1,1790072101646,999.98681640625,25,0,0,0,0,0.5915590000000002,25,25.000329594188987,23.662360000000007
06e9e5b9,1790072101646,999.969970703125,25,0,0,0,0,0.5777420000000006,25,25.000750754966518,23.109680000000026
e0606b55,1790072101646,1000.0322265625,25,0,0,0,0,0.5721109999999996,25,24.999194361900447,22.884439999999987
c7e22c1f,1790072101646,1000.115966796875,26,0,0,0,0,0.5212120000000002,26,25.996985212896455,20.046615384615393
b5e8f409,1790072101646,1000.014892578125,20,0,0,0.0,0,0.9120220000000003,20,19.999702152873212,45.60110000000002
b1269e28,1790072102662,1014.255126953125,20,0,0,0,0,1.6150240000000053,20,19.71890451279358,80.75120000000027
1ac2ffac,1790072102662,1063.427001953125,27,0,0,0,0,0.6172710000000006,26,25.389612968648446,23.741192307692327
d1f37ed1,1790072102662,1062.06298828125,27,0,0,0,0,0.6305589999999999,27,25.422220996227768,23.35403703703703
06e9e5b9,1790072102662,1059.85986328125,27,0,0,0,0,0.6134309999999985,27,25.47506603034286,22.71966666666661
e0606b55,1790072102662,1058.657958984375,27,0,0,0,0,0.5837410000000016,27,25.50398811142221,21.620037037037097
c7e22c1f,1790072102662,1057.509033203125,26,0,0,0,0,0.5176049999999996,26,24.58607840090757,19.907884615384603
b5e8f409,1790072102662,1056.136962890625,20,0,0,0.0,0,0.8864999999999981,20,18.936937824106085,44.3249999999999
b1269e28,1790072103681,1019.5908203125,20,0,0,0,0,1.7795039999999958,20,19.615712108775252,88.97519999999979
1ac2ffac,1790072103681,1019.5400390625,26,0,0,0,0,0.6102989999999995,26,25.501695866606514,23.473038461538444
d1f37ed1,1790072103681,1019.583984375,25,0,0,0,0,0.5728049999999989,25,24.519804531183254,22.912199999999956
06e9e5b9,1790072103681,1019.501220703125,25,0,0,0,0,0.5486360000000001,25,24.521795062450355,21.945440000000005
e0606b55,1790072103681,1019.392822265625,25,0,0,0,0,0.5423409999999986,25,24.524402618842167,21.693639999999945
c7e22c1f,1790072103681,1019.35205078125,25,0,0,0,0,0.5027549999999987,25,24.525383532450387,20.11019999999995
b5e8f409,1790072103681,1019.2490234375,22,0,0,0.0,0,1.0105900000000005,22,21.584519086222144,45.93590909090912
b1269e28,1790072104695,1015.318115234375,21,0,0,0,0,1.737402000000003,21,20.68317277600467,82.73342857142872
1ac2ffac,1790072104695,1015.279052734375,25,0,0,0,0,0.5588300000000004,25,24.623772087752005,22.353200000000015
d1f37ed1,1790072104695,1015.0771484375,26,0,0,0,0,0.5857650000000003,26,25.613816683807322,22.529423076923088
06e9e5b9,1790072104695,1014.966796875,26,0,0,0,0,0.5637070000000008,26,25.616601528298148,21.681038461538492
e0606b55,1790072104695,1014.918212890625,26,0,0,0,0,0.5621770000000001,26,25.61782779121528,21.622192307692313
c7e22c1f,1790072104695,1014.786865234375,26,0,0,0,0,0.5143650000000015,26,25.621143602400732,19.78326923076929
b5e8f409,1790072104695,1014.714111328125,20,0,0,0.0,0,0.9470019999999977,20,19.709985085180964,47.350099999999884
b1269e28,1790072105707,1011.758056640625,20,0,0,0,0,1.7694720000000004,20,19.767571771463512,88.47360000000002
1ac2ffac,1790072105707,1011.630859375,25,0,0,0,0,0.5276639999999979,25,24.712571555444004,21.106559999999916
d1f37ed1,1790072105707,1011.591064453125,25,0,0,0,0,0.581906,25,24.713543721854858,23.27624
06e9e5b9,1790072105707,1011.60498046875,25,0,0,0,0,0.556673,25,24.71320375312475,22.26692
e0606b55,1790072105707,1011.662841796875,25,0,0,0,0,0.5483970000000014,25,24.711790299222617,21.93588000000005
