camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
06e9e5b9,10,1790072084471,637721484935794,,,,,0.453035,2.365755,3.869689,1.050899,55.420959
b1269e28,12,1790072084471,637721485026987,,,,,0.235307,1.16896,2.421186,1.016919,55.360285
1ac2ffac,16,1790072084477,637721490472590,1,0,161.1,31.7,0.174348,4.733946,6.232987,1.324693,51.560674
e0606b55,13,1790072084477,637721490536500,,,,,0.076769,4.416861,5.797973,1.304343,26.371746
06e9e5b9,11,1790072084477,637721490584643,,,,,0.079706,3.781274,5.162007,1.301027,5.648849
c7e22c1f,23,1790072084477,637721490636052,3,0,62.8,38.5,0.132807,0.834962,2.271809,1.30404,51.823397
d1f37ed1,11,1790072084482,637721495157198,,,,,0.074987,4.604338,5.356662,0.677337,51.505244
c7e22c1f,24,1790072084507,637721520767289,3,0,62.8,38.5,0.148226,4.614236,5.583529,0.821067,30.131237
1ac2ffac,17,1790072084523,637721536257538,1,0,161.1,31.7,0.103587,1.564334,2.437963,0.770042,45.784948
e0606b55,14,1790072084528,637721541720901,,,,,0.067492,2.753091,3.89731,1.076727,51.184401
d1f37ed1,12,1790072084528,637721541839322,2,0,70.6,27,0.057008,1.77996,2.933652,1.096684,46.682124
06e9e5b9,12,1790072084528,637721541996458,,,,,0.062619,0.441023,1.719919,1.216277,51.411815
b1269e28,13,1790072084533,637721546553473,,,,,0.097799,1.341221,2.067694,0.628674,61.526486
06e9e5b9,13,1790072084549,637721562168770,,,,,0.214144,3.797442,4.854512,0.842926,20.172312
d1f37ed1,13,1790072084549,637721562262065,2,0,70.6,27,0.132542,2.26615,3.247505,0.848813,20.422743
1ac2ffac,18,1790072084549,637721562314249,1,0,161.1,31.7,0.130238,0.957721,1.948043,0.860084,26.056711
e0606b55,15,1790072084554,637721567170009,,,,,0.110254,3.123674,3.83732,0.603392,25.449108
c7e22c1f,25,1790072084559,637721572373504,3,0,62.8,38.5,0.230471,4.702337,5.575656,0.642848,51.606215
b1269e28,14,1790072084559,637721572449706,,,,,0.070843,1.060203,1.761692,0.630646,25.896233
1ac2ffac,19,1790072084585,637721598832249,1,0,161.1,31.7,0.126974,3.751396,5.467896,1.589526,36.518
d1f37ed1,14,1790072084605,637721618453074,2,0,70.6,27,0.149348,1.104803,2.073518,0.819367,56.191009
e0606b55,16,1790072084611,637721624059999,,,,,0.085367,3.802587,4.989946,1.101992,56.88999
b1269e28,15,1790072084611,637721624182687,,,,,0.08878,1.56625,2.772508,1.117478,51.732981
c7e22c1f,28,1790072084616,637721629198467,3,0,62.8,38.5,0.146908,0.649518,1.806518,1.010092,56.824963
06e9e5b9,14,1790072084616,637721629483709,,,,,0.091042,3.833775,5.101004,1.176187,67.314939
c7e22c1f,29,1790072084621,637721634358552,3,0,62.8,38.5,0.168197,3.337192,4.445938,0.940549,5.160085
1ac2ffac,20,1790072084631,637721644395164,1,0,161.1,31.7,0.126459,1.357884,2.228174,0.743831,45.562915
06e9e5b9,15,1790072084637,637721650485269,,,,,0.093061,4.461215,6.235031,1.680755,21.00156
d1f37ed1,15,1790072084637,637721650593354,2,0,70.6,27,0.097713,2.192128,3.998087,1.708246,32.14028
e0606b55,17,1790072084638,637721650894187,2,1,110.8,61,0.228304,0.606215,2.802704,1.968185,26.834188
b1269e28,16,1790072084641,637721654728439,,,,,0.11299,0.193592,0.867206,0.560624,30.545752
1ac2ffac,21,1790072084667,637721680347509,1,0,161.1,31.7,0.123045,3.151031,4.030313,0.756237,35.952345
c7e22c1f,30,1790072084672,637721685413015,3,0,62.8,38.5,0.121085,3.223238,3.978687,0.634364,51.054463
e0606b55,18,1790072084678,637721691356546,2,1,110.8,61,0.225538,3.699717,5.334929,1.409674,40.462359
d1f37ed1,16,1790072084678,637721691557327,2,0,70.6,27,0.092938,1.511715,2.97009,1.365437,40.963973
06e9e5b9,16,1790072084687,637721701050723,,,,,0.130975,4.574026,5.304444,0.599443,50.565454
1ac2ffac,22,1790072084703,637721716497877,1,0,161.1,31.7,0.117386,3.773964,4.611618,0.720268,36.150368
06e9e5b9,17,1790072084708,637721721677072,,,,,0.124478,4.172599,5.023476,0.726399,20.626349
d1f37ed1,17,1790072084713,637721726770281,2,0,70.6,27,0.173234,4.968091,5.746345,0.60502,35.212954
b1269e28,17,1790072084721,637721734393377,4,3,779.4,1.5,0.421609,2.466898,5.922279,3.033772,79.664938
e0606b55,19,1790072084726,637721739426824,2,1,110.8,61,0.223852,0.480138,2.104876,1.400886,48.070278
1ac2ffac,23,1790072084747,637721760480780,1,0,161.1,31.7,0.132636,4.248504,6.267863,1.886723,43.982903
e0606b55,20,1790072084747,637721760691749,2,1,110.8,61,0.394632,0.541237,2.864156,1.928287,21.264925
d1f37ed1,18,1790072084751,637721764670462,1,0,17.8,3.7,0.145993,3.636683,4.334723,0.552047,37.900181
b1269e28,18,1790072084760,637721772932080,6,3,109.4,2.9,0.525553,1.444565,5.610963,3.640845,38.538703
06e9e5b9,18,1790072084773,637721786874975,,,,,0.157122,1.561743,2.485744,0.766879,65.197903
1ac2ffac,24,1790072084789,637721802485249,1,0,161.1,31.7,0.159272,4.945676,6.141139,1.036191,42.004469
e0606b55,21,1790072084797,637721810154867,2,1,38.5,4.4,0.268202,3.857238,7.633303,3.507863,49.463118
b1269e28,19,1790072084798,637721811475533,6,3,109.4,2.9,0.536253,2.567607,7.666796,4.562936,38.543453
d1f37ed1,19,1790072084798,637721811683524,1,0,17.8,3.7,0.103038,4.095867,6.686996,2.488091,47.013062
06e9e5b9,19,1790072084798,637721811763043,,,,,0.071832,2.818777,5.360216,2.469607,24.888068
c7e22c1f,31,1790072084802,637721815522026,3,1,92.8,7.9,0.257536,2.191038,3.54449,1.095916,130.109011
1ac2ffac,25,1790072084827,637721840902505,1,0,161.1,31.7,0.12186,0.313599,1.32184,0.886381,38.417256
c7e22c1f,32,1790072084833,637721846629789,3,1,35.1,98.8,0.276456,3.249477,4.951892,1.425959,31.107763
d1f37ed1,20,1790072084833,637721846803074,1,0,5.4,10.2,0.076151,1.878721,3.23982,1.284948,35.11955
06e9e5b9,20,1790072084833,637721846961571,,,,,0.105346,0.995957,2.43766,1.336357,35.198528
e0606b55,22,1790072084838,637721852012828,2,1,38.5,4.4,0.212705,3.487042,4.970435,1.270688,41.857961
b1269e28,20,1790072084847,637721860742738,6,3,109.4,2.9,0.401079,2.58549,7.593687,4.607118,49.267205
1ac2ffac,26,1790072084866,637721879371357,1,0,161.1,31.7,0.12109,2.206923,3.081432,0.753419,38.468852
e0606b55,23,1790072084871,637721885016364,2,1,35.8,20.3,0.198153,0.975987,2.407962,1.233822,33.003536
d1f37ed1,21,1790072084876,637721889890523,1,0,5.4,10.2,0.115355,4.103462,4.935857,0.71704,43.087449
06e9e5b9,21,1790072084876,637721889984701,,,,,0.094762,2.832776,3.658543,0.731005,43.02313
c7e22c1f,33,1790072084887,637721900615708,3,1,29,44.7,0.28813,4.96846,6.427955,1.171365,53.985919
1ac2ffac,27,1790072084907,637721920679041,1,0,161.1,31.7,0.1603,2.424224,3.246616,0.662092,41.307684
c7e22c1f,34,1790072084919,637721932179162,3,1,29,44.7,0.331546,4.781297,6.998733,1.88589,31.563454
d1f37ed1,22,1790072084919,637721932436798,1,0,5.8,2.2,0.151257,2.433983,4.467226,1.881986,42.546275
e0606b55,24,1790072084919,637721932602676,2,1,26,9.2,0.190299,1.310142,3.506426,2.005985,47.586312
06e9e5b9,22,1790072084923,637721936254612,,,,,0.086871,3.914003,4.432361,0.431487,46.269911
b1269e28,21,1790072084931,637721944710622,6,3,109.4,2.9,0.355706,3.530192,7.619905,3.734007,83.967884
1ac2ffac,28,1790072084946,637721959717375,1,0,161.1,31.7,0.129548,3.002391,4.271549,1.13961,39.038334
e0606b55,25,1790072084952,637721965057418,2,1,26,9.2,0.272672,0.408067,1.892195,1.211456,32.454742
06e9e5b9,23,1790072084956,637721970047255,,,,,0.085348,3.969177,4.896701,0.842176,33.792643
d1f37ed1,23,1790072084957,637721970129843,1,0,5.8,2.2,0.177257,0.312462,1.292612,0.802893,37.693045
c7e22c1f,35,1790072084962,637721975538742,3,1,49.8,24.4,0.214362,1.261076,2.551034,1.075596,43.35958
b1269e28,22,1790072084969,637721982490908,6,3,109.4,2.9,0.417116,0.381596,3.44014,2.641428,37.780286
