kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,t1_t2_last_ms,1,101.51,101.51,101.51,101.51,101.51
frame,06e9e5b9,Cam góc rộng toàn sân,4,5,4,tracker_to_rgba_ms,1,0.1998,0.1998,0.1998,0.1998,0.1998
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,copy_wall_ms,106,0.554,0.3185,1.4783,1.7866,2.2028
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,decoder_cuda_ms,106,43.7362,41.7832,58.2959,59.7326,62.799
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,encoder_cuda_ms,106,9.2145,9.2734,12.1614,14.488,16.206
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,identity_verify_cuda_ms,106,4.5642,4.2264,7.7295,9.8341,14.1453
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,memory_encode_cuda_ms,106,9.3072,9.0664,13.5957,15.8781,16.0599
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,polygon_postprocess_host_ms,106,3.2213,3.0428,5.6223,5.9495,6.8127
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,queue_wait_ms,106,33.5037,23.4123,136.5321,163.6817,165.389
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,segment_wall_ms,106,77.1073,75.3547,97.1994,106.3347,107.8287
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,t0_t1_ms,106,34.5379,23.9437,137.034,164.7378,165.8744
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,t1_t2_last_ms,106,69.9856,67.7608,89.7197,96.4552,97.382
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,3,tracker_to_rgba_ms,106,0.31,0.1963,1.0484,1.6314,1.7136
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,copy_wall_ms,147,0.495,0.3224,1.5021,1.7422,1.9675
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,decoder_cuda_ms,147,52.8988,51.3084,69.8933,75.4259,77.9808
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,encoder_cuda_ms,147,9.2526,9.0319,13.4094,14.0702,14.8913
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,identity_verify_cuda_ms,147,6.1154,5.7872,9.8725,12.085,13.6512
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,memory_encode_cuda_ms,147,9.5785,9.3115,14.4946,18.6116,18.6834
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,polygon_postprocess_host_ms,147,3.07,2.8721,5.4337,6.2831,8.0467
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,queue_wait_ms,147,31.3778,22.4957,97.0128,153.3384,171.4279
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,segment_wall_ms,147,91.2446,88.7166,114.2548,130.0055,206.462
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,t0_t1_ms,147,32.3761,23.6464,97.6505,158.1696,172.3312
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,t1_t2_last_ms,147,86.3687,84.2085,107.8305,122.1778,200.9507
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,4,tracker_to_rgba_ms,147,0.3327,0.2017,1.0823,1.7611,2.8751
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,copy_wall_ms,1,0.1877,0.1877,0.1877,0.1877,0.1877
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,decoder_cuda_ms,1,47.3353,47.3353,47.3353,47.3353,47.3353
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,encoder_cuda_ms,1,7.4089,7.4089,7.4089,7.4089,7.4089
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,identity_verify_cuda_ms,1,4.4693,4.4693,4.4693,4.4693,4.4693
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,memory_encode_cuda_ms,1,7.2998,7.2998,7.2998,7.2998,7.2998
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,polygon_postprocess_host_ms,1,2.8377,2.8377,2.8377,2.8377,2.8377
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,queue_wait_ms,1,16.5681,16.5681,16.5681,16.5681,16.5681
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,t0_t1_ms,1,17.0228,17.0228,17.0228,17.0228,17.0228
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,t1_t2_last_ms,1,75.0594,75.0594,75.0594,75.0594,75.0594
frame,06e9e5b9,Cam góc rộng toàn sân,4,6,,tracker_to_rgba_ms,1,0.1519,0.1519,0.1519,0.1519,0.1519
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,copy_wall_ms,24,0.4421,0.2754,1.3178,1.5626,1.5626
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,decoder_cuda_ms,24,55.4723,52.5003,66.2251,67.0139,67.0139
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,encoder_cuda_ms,24,8.9847,9.0622,12.8042,13.0054,13.0054
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,identity_verify_cuda_ms,24,4.7308,4.7769,6.6898,7.8495,7.8495
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,memory_encode_cuda_ms,24,9.4899,9.384,13.5902,14.7949,14.7949
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,polygon_postprocess_host_ms,24,3.37,3.5924,4.7645,5.0675,5.0675
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,queue_wait_ms,24,22.3233,13.5311,44.3604,124.12,124.12
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,segment_wall_ms,24,89.0706,86.403,105.5046,113.9155,113.9155
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,t0_t1_ms,24,23.3011,14.1171,45.0015,126.0577,126.0577
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,t1_t2_last_ms,24,81.1531,78.6674,96.6614,98.2579,98.2579
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,4,tracker_to_rgba_ms,24,0.3679,0.1864,1.2984,1.4952,1.4952
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,copy_wall_ms,41,0.4019,0.2967,1.2091,1.35,1.35
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,decoder_cuda_ms,41,68.9089,70.0805,82.934,88.4468,88.4468
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,encoder_cuda_ms,41,9.2909,9.2085,12.3013,14.0132,14.0132
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,identity_verify_cuda_ms,41,6.2054,5.7968,9.4274,11.5092,11.5092
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,memory_encode_cuda_ms,41,9.9773,9.8739,14.7676,17.6357,17.6357
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,polygon_postprocess_host_ms,41,2.9963,2.7065,4.8093,5.7455,5.7455
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,queue_wait_ms,41,25.9545,24.3714,57.5821,72.4089,72.4089
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,segment_wall_ms,41,107.6533,108.1572,127.3395,131.8429,131.8429
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,t0_t1_ms,41,26.9116,25.0113,58.2363,73.1705,73.1705
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,t1_t2_last_ms,41,102.6457,103.1255,122.9749,127.5173,127.5173
frame,06e9e5b9,Cam góc rộng toàn sân,4,7,5,tracker_to_rgba_ms,41,0.3686,0.2182,1.3253,1.4838,1.4838
frame,06e9e5b9,Cam góc rộng toàn sân,4,,,copy_wall_ms,1033,0.5412,0.3114,1.6061,2.2413,5.7408
frame,06e9e5b9,Cam góc rộng toàn sân,4,,,tracker_to_rgba_ms,1428,0.3132,0.1998,1.1322,1.663,3.1562
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,copy_wall_ms,48,0.4331,0.3113,1.329,2.1586,2.1586
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,decoder_cuda_ms,48,14.0156,12.7281,23.5165,24.9941,24.9941
frame,1ac2ffac,Cam Dahua Ch2 Fixed,0,1,1,encoder_cuda_ms,48,9.202,9.2287,12.7725,14.0256,14.0256
