epoch_ms,power_w,temperature_c,sm_percent,mem_percent,decode_percent,vram_mb,phase
1790073063000.0,116.0,64.0,64.0,25.0,5.0,4488.0,build
1790073064000.0,105.0,59.0,66.0,25.0,6.0,4504.0,build
1790073065000.0,108.0,64.0,75.0,28.0,7.0,4504.0,build
1790073066000.0,107.0,63.0,81.0,35.0,5.0,4510.0,build
1790073067000.0,119.0,65.0,86.0,35.0,5.0,4510.0,build
1790073068000.0,114.0,62.0,66.0,26.0,5.0,4510.0,build
1790073069000.0,117.0,62.0,75.0,31.0,5.0,4510.0,build
1790073070000.0,116.0,64.0,76.0,29.0,4.0,4510.0,build
1790073071000.0,118.0,64.0,75.0,31.0,5.0,4510.0,build
1790073072000.0,111.0,64.0,91.0,29.0,6.0,4508.0,build
1790073073000.0,119.0,65.0,85.0,31.0,5.0,4508.0,build
1790073074000.0,125.0,64.0,66.0,23.0,4.0,4508.0,build
1790073075000.0,113.0,61.0,71.0,30.0,5.0,4508.0,build
1790073076000.0,110.0,64.0,69.0,25.0,5.0,4484.0,build
1790073077000.0,114.0,66.0,80.0,35.0,6.0,4484.0,build
1790073078000.0,123.0,66.0,80.0,34.0,5.0,4486.0,build
1790073079000.0,120.0,64.0,92.0,26.0,5.0,4486.0,build
1790073081000.0,110.0,62.0,71.0,25.0,5.0,4498.0,build
1790073082000.0,116.0,63.0,71.0,30.0,5.0,4482.0,build
1790073083000.0,122.0,65.0,79.0,33.0,5.0,4482.0,build
1790073084000.0,123.0,64.0,97.0,30.0,5.0,4482.0,build
1790073085000.0,115.0,61.0,68.0,27.0,7.0,4482.0,build
1790073086000.0,116.0,63.0,74.0,31.0,5.0,4482.0,build
1790073087000.0,123.0,64.0,82.0,29.0,5.0,4482.0,build
1790073088000.0,122.0,61.0,74.0,26.0,5.0,4480.0,build
1790073089000.0,105.0,59.0,68.0,20.0,5.0,4484.0,build
1790073090000.0,108.0,61.0,73.0,29.0,6.0,4484.0,build
1790073091000.0,119.0,63.0,98.0,35.0,5.0,4482.0,build
1790073092000.0,111.0,61.0,73.0,26.0,7.0,4482.0,build
1790073093000.0,111.0,63.0,97.0,34.0,5.0,4484.0,build
1790073094000.0,117.0,65.0,97.0,31.0,5.0,4483.0,build
1790073095000.0,126.0,65.0,98.0,35.0,4.0,4484.0,build
1790073096000.0,105.0,64.0,74.0,25.0,5.0,4483.0,build
1790073097000.0,115.0,63.0,69.0,25.0,6.0,4507.0,build
1790073098000.0,113.0,63.0,74.0,27.0,5.0,4505.0,build
1790073099000.0,113.0,65.0,73.0,29.0,4.0,4515.0,build
1790073100000.0,119.0,65.0,95.0,24.0,4.0,4509.0,build
1790073101000.0,117.0,64.0,77.0,34.0,5.0,4509.0,build
1790073103000.0,115.0,65.0,75.0,28.0,6.0,4509.0,build
1790073104000.0,116.0,61.0,70.0,27.0,5.0,4509.0,build
1790073105000.0,114.0,62.0,73.0,26.0,6.0,4509.0,build
1790073106000.0,113.0,63.0,75.0,32.0,5.0,4510.0,build
1790073107000.0,110.0,61.0,70.0,26.0,5.0,4519.0,build
1790073108000.0,108.0,61.0,74.0,28.0,5.0,4509.0,build
1790073109000.0,110.0,61.0,71.0,28.0,5.0,4510.0,build
1790073110000.0,105.0,61.0,62.0,24.0,6.0,4513.0,build
1790073111000.0,111.0,65.0,80.0,32.0,5.0,4497.0,build
1790073112000.0,115.0,63.0,67.0,26.0,5.0,4528.0,build
1790073113000.0,106.0,62.0,77.0,27.0,5.0,4599.0,build
1790073114000.0,107.0,62.0,96.0,27.0,5.0,4599.0,build
1790073115000.0,116.0,65.0,97.0,34.0,5.0,4599.0,build
1790073116000.0,108.0,64.0,97.0,32.0,5.0,4599.0,build
1790073117000.0,110.0,61.0,93.0,29.0,7.0,4599.0,build
1790073118000.0,107.0,61.0,77.0,29.0,5.0,4599.0,build
1790073119000.0,98.0,61.0,77.0,24.0,5.0,4599.0,build
1790073120000.0,103.0,63.0,84.0,25.0,5.0,4599.0,build
1790073121000.0,108.0,62.0,97.0,29.0,5.0,4599.0,build
1790073122000.0,113.0,63.0,96.0,29.0,4.0,4599.0,build
1790073123000.0,106.0,63.0,76.0,27.0,5.0,4599.0,build
1790073125000.0,102.0,64.0,81.0,28.0,5.0,4599.0,build
1790073126000.0,104.0,61.0,80.0,32.0,6.0,4595.0,build
1790073127000.0,102.0,60.0,84.0,27.0,5.0,4595.0,build
1790073128000.0,114.0,63.0,95.0,31.0,5.0,4595.0,build
1790073129000.0,97.0,61.0,79.0,27.0,5.0,4595.0,build
1790073130000.0,102.0,61.0,77.0,27.0,7.0,4595.0,build
1790073131000.0,112.0,61.0,97.0,32.0,5.0,4595.0,build
1790073132000.0,116.0,63.0,82.0,30.0,5.0,4595.0,build
1790073133000.0,106.0,61.0,78.0,27.0,5.0,4595.0,build
1790073134000.0,108.0,65.0,86.0,32.0,5.0,4595.0,build
1790073135000.0,116.0,63.0,97.0,32.0,6.0,4595.0,build
1790073136000.0,113.0,64.0,82.0,31.0,5.0,4595.0,build
1790073137000.0,108.0,64.0,82.0,31.0,7.0,4595.0,build
1790073138000.0,104.0,64.0,84.0,31.0,5.0,4595.0,build
1790073139000.0,115.0,63.0,97.0,29.0,5.0,4595.0,build
1790073140000.0,120.0,63.0,98.0,31.0,5.0,4595.0,build
1790073141000.0,107.0,63.0,99.0,23.0,5.0,4595.0,build
1790073142000.0,96.0,62.0,91.0,28.0,7.0,4495.0,build
1790073143000.0,115.0,64.0,90.0,34.0,5.0,4537.0,build
1790073144000.0,107.0,63.0,85.0,28.0,5.0,4535.0,build
1790073145000.0,109.0,64.0,93.0,35.0,5.0,4541.0,build
1790073147000.0,118.0,65.0,94.0,37.0,5.0,4541.0,build
1790073148000.0,109.0,60.0,77.0,29.0,5.0,4541.0,build
1790073149000.0,101.0,60.0,79.0,28.0,5.0,4569.0,build
1790073150000.0,112.0,62.0,95.0,25.0,7.0,4569.0,build
1790073151000.0,107.0,60.0,89.0,22.0,5.0,4571.0,build
1790073152000.0,111.0,61.0,85.0,34.0,5.0,4575.0,build
1790073153000.0,104.0,63.0,79.0,26.0,5.0,4575.0,build
1790073154000.0,109.0,63.0,91.0,34.0,5.0,4575.0,build
1790073155000.0,113.0,65.0,81.0,31.0,6.0,4575.0,build
1790073156000.0,108.0,61.0,72.0,28.0,5.0,4597.0,build
1790073157000.0,111.0,62.0,93.0,26.0,5.0,4597.0,build
1790073158000.0,107.0,63.0,82.0,29.0,5.0,4597.0,build
1790073159000.0,106.0,63.0,96.0,25.0,5.0,4597.0,build
