camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
06e9e5b9,1,1790073014078,638651091103466,,,,,0.125312,5.061651,5.922181,0.735218,27.570527
1ac2ffac,7,1790073014103,638651116991519,1,0,158.3,0.5,0.134301,2.503195,3.738488,1.100992,36.63701
c7e22c1f,29,1790073014120,638651133780629,3,0,85.3,37.9,0.15929,4.796815,7.360118,2.404013,46.83539
d1f37ed1,2,1790073014120,638651134054967,,,,,0.052082,3.856754,6.446745,2.537909,46.968446
06e9e5b9,2,1790073014121,638651134188653,,,,,0.079514,2.767962,5.464274,2.616798,43.085187
e0606b55,29,1790073014121,638651134300867,2,1,48.3,49.3,0.173939,1.234773,4.084016,2.675304,47.994716
b1269e28,6,1790073014142,638651155292099,,,,,0.373002,0.662866,4.052796,3.016928,84.808689
1ac2ffac,8,1790073014146,638651159996551,1,0,42.5,96.6,0.124471,0.202749,1.283077,0.955857,43.005032
c7e22c1f,30,1790073014168,638651181793281,3,0,10,11.7,0.132386,2.441482,4.774099,2.200231,48.012652
e0606b55,30,1790073014168,638651181935287,2,1,48.3,49.3,0.274469,0.572021,3.061387,2.214897,47.63442
d1f37ed1,3,1790073014175,638651188836933,,,,,0.307728,4.732267,8.764098,3.724103,54.781966
06e9e5b9,3,1790073014175,638651189015146,,,,,0.08199,2.691659,6.571526,3.797877,54.826493
b1269e28,7,1790073014176,638651189583577,,,,,0.459106,0.677758,5.443097,4.306233,34.291478
1ac2ffac,9,1790073014190,638651203569593,1,0,42.5,96.6,0.113892,1.014174,2.012948,0.884882,43.573042
c7e22c1f,31,1790073014196,638651209912049,3,0,10,11.7,0.087441,3.940572,6.05251,2.024497,28.118768
e0606b55,31,1790073014197,638651210232300,2,1,48.3,49.3,0.27386,2.644437,5.141596,2.223299,28.297013
d1f37ed1,4,1790073014197,638651210329627,1,0,58.8,20.3,0.077138,1.470987,3.538996,1.990871,21.492694
