camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790073133133,999.65087890625,20,0,0,0.0,0,1.8032460000000015,20,20.006984860437115,90.16230000000007
1ac2ffac,1790073133133,999.98095703125,25,0,0,0.0,0,0.659119000000004,25,25.000476083284788,26.36476000000016
d1f37ed1,1790073133133,999.98291015625,25,0,0,0,0,0.5236989999999935,25,25.000427253395443,20.94795999999974
06e9e5b9,1790073133133,999.55615234375,25,0,0,0,0,0.5684850000000097,25,25.011101118611727,22.739400000000387
e0606b55,1790073133133,999.990966796875,25,0,0,0,0,0.5737000000000023,25,25.00022583211811,22.948000000000093
c7e22c1f,1790073133133,1000.012939453125,25,0,0,0,0,0.4955369999999988,25,24.99967651785756,19.82147999999995
b5e8f409,1790073133133,1000.278076171875,20,0,0,0.0,0,0.7725010000000054,20,19.994440022659713,38.62505000000027
b1269e28,1790073134148,999.992919921875,20,0,0,0.0,0,1.6848039999999855,20,20.00014160256506,84.24019999999928
1ac2ffac,1790073134148,1000.068115234375,25,0,0,0.0,0,0.5846849999999932,25,24.998297235124852,23.38739999999973
d1f37ed1,1790073134148,999.966064453125,25,0,0,0,0,0.5285730000000086,25,25.000848417463384,21.142920000000345
06e9e5b9,1790073134148,1000.014892578125,25,0,0,0,0,0.5612950000000012,25,24.999627691091515,22.45180000000005
e0606b55,1790073134148,999.989990234375,25,0,0,0,0,0.5754489999999919,25,25.000250246645535,23.017959999999675
c7e22c1f,1790073134148,999.965087890625,25,0,0,0,0,0.4884020000000078,25,25.000872833206824,19.53608000000031
b5e8f409,1790073134148,1000.011962890625,20,0,0,0.0,0,0.8315680000000043,20,19.99976074504968,41.578400000000215
b1269e28,1790073135163,1054.68212890625,21,0,0,0.0,0,2.0222339999999974,21,19.911212510804454,96.29685714285702
1ac2ffac,1790073135163,1050.448974609375,27,0,0,0.0,0,0.5870940000000076,27,25.70329511725246,21.7442222222225
d1f37ed1,1790073135163,999.9951171875,25,0,0,0,0,0.524360999999999,25,25.00012207090855,20.97443999999996
06e9e5b9,1790073135163,1000.01416015625,25,0,0,0,0,0.5352889999999917,25,24.99964600110643,21.411559999999668
e0606b55,1790073135163,1000.01513671875,25,0,0,0,0,0.5565590000000071,25,24.99962158775917,22.262360000000285
c7e22c1f,1790073135163,1000.037841796875,25,0,0,0,0,0.4995789999999971,25,24.99905399087681,19.983159999999884
b5e8f409,1790073135163,1000.01708984375,20,0,0,0.0,0,0.8035409999999956,20,19.999658208966157,40.17704999999978
